"product_title","location","account_seller","price","review","installment","rating","brand_hp"
"OPPO F9 Smartphone 4GB/64GB (Cicil TANPA Kartu Kredit, Garansi Resmi)","Tangerang","OPPO OFFICIAL STORE",3399000,148,141625,4.9,"oppo"
"Asus Zenfone Live L2 ZA550KL 2/16 Ram 2gb Rom 16gb Garansi Resmi","Jakarta","Maxi phone cell",1010000,49,42084,4.9,"asus"
"Xiaomi Redmi 6A Ram 2/16GB Garansi Resmi TAM","Jakarta","dk-cell",1185000,69,49375,4.8,"xiaomi"
"Xiaomi Redmi 6A 2/16 Garansi TAM","Semarang","Seto Tech",1181000,54,49209,4.9,"xiaomi"
"IPhone 5s 32gb new","Jakarta","Jimmylion",2100000,32,87500,5,"apple"
"vivo y95 ram 4 gb internal 64 gb","Jakarta","lion ponselindo",2099000,103,87459,4.9,"vivo"
"Redmi 6a TAM","Malang","Dumpshoot 2ndshoes",1198000,149,49917,5,"xiaomi"
"REDMI 7 3/32 TAM BNIB RESMI ram 3 gb rom 32 gb redmi7 32gb new","Surabaya","Pandora Gadget",1859000,60,77459,4.9,"xiaomi"
"Iphone 6S 32gb Bekas Fullset","Jakarta","Boboy Store",2400000,52,1e+05,4.9,"apple"
"Nokia 5310 Express musik","Bekasi","Senyum shop's",260000,52,10834,4.5,"nokia"
"iPhone 5s 16gb new","Jakarta","Jimmylion",1990000,39,82917,5,"apple"
"Iphone 6splus 128gb","Jakarta","Jed Store handphone",5e+06,54,208334,5,"apple"
"Redmi 6a garansi tam","Malang","Selca OS",1188000,75,49500,5,"xiaomi"
"xiaomi redmi 6A garansi Tam 2/16","Bekasi","Toko Sepatu Queenshop",1195000,197,49792,4.9,"xiaomi"
"Google pixel 32Gb second fullset","Jakarta","WT Teknologi",1700000,137,70834,4.6,"google pixel"
"Asus Zenfone Max Pro M1 ZB602KL Resmi Termurah","Kab. Kudus","Ananda Store Indo",2510000,50,104584,5,"asus"
"redmi 6a ram 2 memori 16gb","Jakarta","abadi88 shop",1185000,24,49375,4.9,"xiaomi"
"xiaomi redmi 6a TAM","Kab. Sleman","Store Celuler",1180000,29,49167,4.3,"xiaomi"
